trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1605,False,"{'a': 0.5, 'e': 0.20088955491023208}",20,13,7.774103718152205,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1606,False,"{'a': 0.5, 'e': 0.20068876576662606}",25,4,18.361811047291354,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
1607,False,"{'a': 0.5, 'e': 0.20048817731180257}",30,20,22.144886865146344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1608,False,"{'a': 0.5, 'e': 0.20028778934517305}",25,17,3.22693775218945,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1609,False,"{'a': 0.5, 'e': 0.20008760166634962}",20,10,-1.969321549398765,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1610,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,3,8.259696878453457,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1611,False,"{'a': 0.5, 'e': 0.19968782637157012}",25,15,15.382647338564482,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1612,False,"{'a': 0.5, 'e': 0.19948823835583873}",20,8,15.373470747862362,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1613,False,"{'a': 0.5, 'e': 0.19928884982836237}",20,11,14.053148564755285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1614,False,"{'a': 0.5, 'e': 0.1990896605897524}",25,11,-28.47549691295741,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1615,False,"{'a': 0.5, 'e': 0.19889067044081962}",20,6,22.929836734189067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1616,False,"{'a': 0.5, 'e': 0.19869187918257386}",20,0,-23.97370695708754,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1617,False,"{'a': 0.5, 'e': 0.19849328661622387}",30,18,-16.76036139968543,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
