trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
294,False,"{'a': 0.05, 'e': 0.22992548518672384}",30,10,14.514535453396178,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.05, 'e': 0.22877872704522242}",20,0,-57.21520789506309,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
296,False,"{'a': 0.05, 'e': 0.22763768838381274}",30,6,6.825182105199401,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
297,False,"{'a': 0.05, 'e': 0.22650234067646874}",25,13,-0.5813973839382953,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.05, 'e': 0.22537265553943872}",25,16,15.158771940490308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.05, 'e': 0.22424860473053532}",25,13,6.239630604831712,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.05, 'e': 0.22313016014842982}",25,19,-30.862781711090268,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.05, 'e': 0.22201729383194937}",25,14,11.687301477332726,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.05, 'e': 0.2209099779593782}",30,3,-50.253860330099435,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 2}",1
303,False,"{'a': 0.05, 'e': 0.21980818484776168}",20,0,33.89165463016662,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.05, 'e': 0.21871188695221475}",25,15,19.120229044144835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.05, 'e': 0.21762105686523284}",20,0,6.85612042059711,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
306,False,"{'a': 0.05, 'e': 0.21653566731600707}",25,10,-55.82887962315008,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
307,False,"{'a': 0.05, 'e': 0.21545569116974203}",25,2,19.632941107488968,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
308,False,"{'a': 0.05, 'e': 0.21438110142697794}",25,17,-25.20242255304497,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
309,False,"{'a': 0.05, 'e': 0.21331187122291523}",30,10,23.683737429618603,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.05, 'e': 0.21224797382674304}",20,13,11.64764367241316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.05, 'e': 0.21118938264097117}",35,0,36.1073828122632,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
312,False,"{'a': 0.05, 'e': 0.21013607120076472}",35,5,19.83968494273901,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
313,False,"{'a': 0.05, 'e': 0.20908801317328293}",20,0,23.80237488680379,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
314,False,"{'a': 0.05, 'e': 0.20804518235702046}",25,2,3.655539379518785,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
315,False,"{'a': 0.05, 'e': 0.20700755268115265}",20,3,0.33212124368445783,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
316,False,"{'a': 0.05, 'e': 0.20597509820488344}",20,0,-38.84325969911967,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
317,False,"{'a': 0.05, 'e': 0.2049477931167973}",25,13,10.648492128628943,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
